,icp_licensees
мол.  Сестринська справа,15495
Стоматологія,12467
Терапевтична стоматологія,9969
Ортопедична стоматологія,8752
Організація і управління охороною здоров'я,6574
Хірургічна стоматологія,6325
Ортодонтія,5032
Ультразвукова діагностика,4775
Дерматовенерологія,4164
Терапія,3912
Акушерство і гінекологія,3750
Дитяча стоматологія,3640
Неврологія,3502
Загальна практика - сімейна медицина,3120
мол. Рентгенологія,2864
Анестезіологія,2822
Педіатрія,2654
Кардіологія,2333
Хірургія,2275
Отоларингологія,2198
Урологія,2088
Ендокринологія,2071
Офтальмологія,1948
Ортопедія і травматологія,1830
Рентгенологія,1821
мол. Стоматологія,1579
Гастроентерологія,1535
Психіатрія,1404
Функціональна діагностика,1356
Дитяча анестезіологія,1292
Фізіотерапія,1256
мол. Сестринська справа (операційна),1102
Дитяча отоларингологія,1051
мол. Ортопедична стоматологія,1004
Дитяча офтальмологія,898
Дитяча неврологія,892
Наркологія,878
Ендоскопія,855
Клінічна лабораторна діагностика,845
Психотерапія,813
Проктологія,730
мол. Лабораторна справа (клініка),701
Дитяча ортопедія і травматологія,680
Онкологія,644
Дитяча дерматовенерологія,602
Народна та нетрадиційна медицина,588
Фізична та реабілітаційна медицина,565
Ревматологія,542
мол.  Акушерська справа,540
Рефлексотерапія,537
Алергологія,531
мол. Лікувальна справа,529
Пульмонологія,522
Онкохірургія,515
Судинна хірургія,511
Дитяча хірургія,508
Дієтологія,503
Дитяча гастроентерологія,392
Дитяча алергологія,375
Дитяча ендокринологія,369
Клінічна біохімія,360
Дитяча гінекологія,358
Дитяча кардіоревматологія,358
Медична психологія,352
Лікувальна фізкультура,321
Онкогінекологія,288
Дитяча психіатрія,279
Нейрохірургія,274
Інфекційні хвороби,269
Пластична хірургія,256
Дитяча урологія,240
Нефрологія,231
Сексопатологія,206
мол. Медична статистика,200
Гематологія,186
Клінічна імунологія,172
Медицина невідкладних станів,171
Генетика медична,158
Професійна патологія,158
Лабораторна імунологія,156
Імунологія,143
Дитяча імунологія,136
Сурдологія,135
Дитяча пульмонологія,130
Спортивна медицина,122
Неонатологія,117
мол. Лікувальна справа (невідкладні стани),114
Лікувальна фізкультура і спортивна медицина,112
Дитячі інфекційні хвороби,110
Генетика лабораторна,104
Психофізіологія,103
Дитяча нефрологія,95
Патологічна анатомія,85
Щелепно-лицева хірургія,81
Епідеміологія,78
Бактеріологія,75
Хірургія серця і магістральних судин,71
Дитяча гематологія,70
Медична сестра з масажу,69
Санологія,60
мол. Лабораторна справа (патологія),58
Торакальна хірургія,58
Медична сестра,54
Медична сестра з стоматології,50
Фтизіатрія,50
Радіологія,46
Дитяча кардіологія,46
Вірусологія,45
Трансфузіологія,44
Зубний технік,42
Дитяча онкологія,41
Дитяча нейрохірургія,41
Медична сестра з фізіотерапії,39
мол. Лабораторна справа (гігієна),38
Комбустіологія,37
мол.  Медико-профілактична справа,37
Мікробіологія і вірусологія,36
Онкоотоларингологія,34
.Рентгенлаборант,34
Підліткова терапія,27
Дитяча фтизіатрія,24
Фізична терапія,22
Зубний лікар,22
Дитяча патологічна анатомія,20
Геріатрія,20
Паразитологія,19
Променева терапія,19
Медична сестра з дієтичного харчування,16
Медична сестра з лікувальної фізкультури,14
Дезінфекційна справа,14
Загальна гігієна,13
Медична сестра з функціональної діагностики,13
Інтервенційна кардіологія,13
Лаборант клініко-діагностичної лабораторії,12
Операційна медична сестра,12
Гігієна праці,11
Фельдшер,11
Токсикологія,10
мол.  Санологія,10
Медичний статистик,9
Радіонуклідна діагностика,8
Авіаційна та космічна медицина,8
Гігієна харчування,7
Фельдшер швидкої допомоги,7
Лабораторні дослідження факторів навколишнього середовища,7
Комунальна гігієна,6
Трансплантологія,5
Акушерство,4
Дитяча ревматологія,4
Радіаційна гігієна,4
Лабораторні дослідження хімічних факторів навколишнього середовища,3
Лабораторні дослідження фізичних факторів навколишнього середовища,3
Суднова медицина,3
Лаборант з імунології,3
Інвазивна електрофізіологія,2
Гігієна дітей та підлітків,2
Гінекологія,2
Лаборант з бактеріології,1
Фельдшер санітарної освіти,1
Проведення дезінсекційних робіт,1
.Інструктор з лікувальної фізкультури,1
Переробка донорської крові та її компонентів,1
