oblast,fop_multi,fop_solo,private_mid_plus,private_small,public,unclassified
Івано-Франківська,187,1186,12,159,154,47
АР Крим,128,280,18,232,155,7
Волинська,124,759,3,91,120,25
Вінницька,202,931,13,202,249,23
Дніпропетровська,422,1813,76,542,571,73
Донецька,170,1025,30,353,465,24
Житомирська,90,554,13,131,173,8
Закарпатська,147,880,11,180,204,49
Запорізька,266,953,45,273,384,65
Київська,238,1262,32,396,203,62
Кіровоградська,83,362,8,46,141,16
Луганська,130,623,20,126,226,17
Львівська,357,2196,36,486,319,107
Миколаївська,101,516,8,129,145,14
Одеська,294,1515,42,460,265,88
Полтавська,239,1006,9,151,326,30
Рівненська,131,773,14,121,193,26
Сумська,101,519,12,84,158,16
Тернопільська,190,709,20,128,137,28
Харківська,428,1580,51,474,310,70
Херсонська,76,339,12,105,119,18
Хмельницька,201,971,19,198,126,59
Черкаська,171,771,8,111,163,14
Чернівецька,86,614,15,93,129,20
Чернігівська,67,391,7,64,151,9
м.Київ,329,2413,148,2232,350,132
м.Севастополь,8,62,13,76,23,1
