issue_year,fop_multi,fop_solo,private_mid_plus,private_small,public,unclassified
2003,0,0,1,2,0,0
2004,270,13,74,131,95,3
2005,60,17,46,116,63,3
2006,203,14,53,110,57,2
2007,113,11,23,94,52,2
2008,387,41,63,158,180,3
2009,793,90,75,286,354,3
2010,313,2156,57,947,738,20
2011,329,2227,29,763,582,31
2012,300,2172,37,775,996,33
2013,129,1009,21,345,522,17
2014,126,813,12,254,275,21
2015,118,741,15,261,109,18
2016,147,782,21,267,100,11
2017,192,1031,21,297,196,23
2018,204,1416,26,325,440,33
2019,247,1662,20,363,487,41
2020,231,1961,22,372,288,41
2021,282,2184,42,548,199,155
2022,92,973,10,187,52,51
2023,148,1728,10,316,59,106
2024,152,1736,10,329,52,114
2025,115,1862,6,329,56,110
2026,15,364,1,69,7,207
